num,address,point/0,point/1
48,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, ул. 5-я Красноармейская, д.23/27, (ГБОУ СОШ №266)",,
49,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, наб. Обводного кан., д.143, (ГБОУ СОШ №564)",,
50,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, наб. Обводного кан., д.143, (ГБОУ СОШ №564)",,
51,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, ул. 5-я Красноармейская, д.23/27, (ГБОУ СОШ №266)",,
52,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Московский пр., д.79, (СПб ГБУ """"Центр социальной помощи семье и детям Адмиралтейского района Санкт-Петербурга"""")",,
53,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, ул. Циолковского, д.8, (ГБОУ гимназия №278)",59.91084799999999,30.29197
54,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, ул. Циолковского, д.8, (ГБОУ гимназия №278)",59.91084799999999,30.29197
55,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, ул. Циолковского, д.8, (ГБОУ гимназия №278)",59.91084799999999,30.29197
56,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, ул. Курляндская, д.43, (ГБОУ СОШ №288)",59.911966,30.270179
57,"198095, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, ул. Шкапина, д.2, (муниципальное образование МО Екатерингофский)",,
58,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский пр., д.33, (ГБОУ СОШ №263)",59.90455350000001,30.2760727
59,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский пр., д.33, (ГБОУ СОШ №263)",59.90455350000001,30.2760727
60,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский пр., д.33, (ГБОУ СОШ №263)",59.90455350000001,30.2760727
61,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, ул. Бумажная, д.5, (ГБОУ СОШ №287)",,
104,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ N7, Кадетская линия В.О., д. 3  лит. А (здание школы № 35)",,
105,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ N7, Кадетская линия В.О., д. 3  лит. А (здание школы № 35)",,
106,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ N7, 2-я линия В.О., д. 23 лит. А (здание Гидрологического института)",,
